City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
621,Nantucket,US,41.2835,-70.0995,59.14,94,100,19.06,moderate rain
622,Birao,CF,10.2849,22.7882,77.95,26,0,5.99,clear sky
623,Salta,AR,-24.7859,-65.4117,81.19,46,40,20.71,scattered clouds
624,Hami,CN,42.8,93.45,34.25,46,1,3.91,clear sky
625,Poso,ID,-1.3959,120.7524,77.58,86,100,4.34,overcast clouds
626,Kurilsk,RU,45.2333,147.8833,45.48,93,98,23.49,overcast clouds
627,Hay River,CA,60.8156,-115.7999,26.58,74,20,11.5,few clouds
628,Dhidhdhoo,MV,6.8833,73.1,82.2,69,77,9.48,broken clouds
629,Saint-Raphael,HT,19.4333,-72.2,83.28,57,88,5.97,overcast clouds
630,Colac,AU,-38.3333,143.5833,56.17,95,100,9.86,moderate rain
631,Tommot,RU,58.9564,126.2925,21.11,91,100,8.08,light snow
632,Jablanica,BA,43.6603,17.7617,51.93,79,100,1.21,overcast clouds
633,Dingle,PH,10.9995,122.6711,76.3,94,93,7.09,overcast clouds
634,Cotonou,BJ,6.3654,2.4183,80.65,80,46,8.01,light rain
635,Sal Rei,CV,16.1833,-22.9167,79.0,69,75,19.57,broken clouds
636,Brattleboro,US,42.8509,-72.5579,49.33,91,100,4.0,overcast clouds
637,Puerto Madero,MX,14.7208,-92.4215,88.0,74,40,5.75,scattered clouds
638,Butembo,CD,0.15,29.2833,57.81,98,98,1.57,light rain
639,Muroto,JP,33.2833,134.15,65.37,75,66,6.98,broken clouds
640,Katobu,ID,-4.9408,122.5276,76.14,92,86,1.99,overcast clouds
641,Zandvoort,NL,52.3749,4.5341,51.89,82,0,4.61,clear sky
642,Kimamba,TZ,-6.7833,37.1333,77.72,64,10,10.78,clear sky
643,Lorengau,PG,-2.0226,147.2712,80.64,82,99,7.52,overcast clouds
644,Portel,BR,-1.9356,-50.8211,89.98,52,60,4.7,broken clouds
645,Greytown,ZA,-29.0642,30.5928,53.49,94,100,6.55,light rain
646,Raga,SS,8.4596,25.678,78.78,24,88,4.59,overcast clouds
647,Nuuk,GL,64.1835,-51.7216,30.81,69,75,5.75,broken clouds
648,Amapa,BR,1.0,-52.0,81.75,72,94,2.91,overcast clouds
649,Oranjestad,AW,12.524,-70.027,84.15,81,40,14.97,scattered clouds
650,Araouane,ML,18.9048,-3.5265,85.08,14,100,8.86,overcast clouds
